name,address,rating,total_photos,total_ratings,coordinates
Krave Coffee,781 St Clair Ave W,7.5,9.0,28.0,"43.6809164,-79.4229684"
Thai Noodle,62 Vaughan Rd,7.1,38.0,14.0,"43.6809164,-79.4229684"
Albert's Real Jamaican Food,542 Saint Clair Ave W,7.1,33.0,54.0,"43.6809164,-79.4229684"
Aviv,779 St Clair Ave W,7.1,27.0,17.0,"43.6809164,-79.4229684"
Sea Witch Fish & Chips,636 Saint Clair Ave W,6.7,12.0,31.0,"43.6809164,-79.4229684"
Nodo Hillcrest,794 Saint Clair Ave W,6.9,2.0,9.0,"43.6809164,-79.4229684"
The Bagel House,1438 Yonge St,8.6,13.0,41.0,"43.6910667,-79.39535"
Capocaccia Cafe,1366 Yonge St,8.4,21.0,49.0,"43.6910667,-79.39535"
Mary Be Kitchen,21B St Clair Ave W,7.6,14.0,15.0,"43.6910667,-79.39535"
Nutbar,1240B Yonge St,8.3,43.0,9.0,"43.6910667,-79.39535"
Mermaid Fish and Grill House,44 St Clair Ave E,7.1,19.0,9.0,"43.6910667,-79.39535"
Flaming Stove,21 Davisville Ave,7.4,5.0,8.0,"43.6910667,-79.39535"
Barnsteiner's,1 Balmoral Ave,7.1,4.0,17.0,"43.6910667,-79.39535"
Bull & Firkin,1835 Yonge St,7.1,50.0,57.0,"43.6910667,-79.39535"
Bikkuri Japanese Restaurant,1835 Yonge St,6.3,13.0,11.0,"43.6910667,-79.39535"
Red Lantern Pub,228 Merton St,6.4,23.0,32.0,"43.6910667,-79.39535"
Little Sister,2031 Yonge St,8.2,42.0,74.0,"43.6975969,-79.39654"
Flaming Stove,21 Davisville Ave,7.4,5.0,8.0,"43.6975969,-79.39654"
Jules Cafe Patisserie,617 Mount Pleasant Rd,8.7,25.0,30.0,"43.6975969,-79.39654"
St. Louis Bar and Grill,2050 Yonge St,7.6,128.0,167.0,"43.6975969,-79.39654"
Rachel's Coffee House,2011 Yonge St,7.5,42.0,44.0,"43.6975969,-79.39654"
The Keg Steakhouse + Bar,2201 Yonge St,8.2,110.0,161.0,"43.6975969,-79.39654"
Marigold,552 Mount Pleasant Rd,8.1,13.0,16.0,"43.6975969,-79.39654"
Bull & Firkin,1835 Yonge St,7.1,50.0,57.0,"43.6975969,-79.39654"
Gelato Simply Italian,2076 Yonge St,6.9,84.0,55.0,"43.6975969,-79.39654"
Florentia,579 Mount Pleasant Rd,7.2,20.0,10.0,"43.6975969,-79.39654"
Le Select Bistro,432 Wellington St W,8.8,265.0,339.0,"43.639832,-79.395954"
SOMA chocolatemaker,443 King St W,9.3,254.0,312.0,"43.639832,-79.395954"
Rodney's Oyster House,469 King St W,9.0,297.0,261.0,"43.639832,-79.395954"
Wilbur Mexicana,552 King St W,9.0,186.0,392.0,"43.639832,-79.395954"
Forno Cultura,609 King St W,8.9,112.0,196.0,"43.639832,-79.395954"
Gusto 101,101 Portland St,8.8,501.0,593.0,"43.639832,-79.395954"
Chubby's Jamaican Kitchen,104 Portland St,8.8,61.0,48.0,"43.639832,-79.395954"
Lee,603 King St W,8.5,267.0,271.0,"43.639832,-79.395954"
Marben,488 Wellington St W,8.1,188.0,183.0,"43.639832,-79.395954"
Bar Hop,391 King St W,8.6,1135.0,461.0,"43.639832,-79.395954"
