name,address,num_of_stations,coordinates
Donlands Subway Station,990 Danforth Ave,3,"43.68395,-79.347046"
,,0,"43.690537,-79.341307"
Future Subway Stop,846 Eglinton Ave W,1,"43.704461,-79.423122"
,,0,"43.659195,-79.329196"
,,0,"43.651885,-79.3649"
,,0,"43.682645,-79.377557"
,,0,"43.6475,-79.43305555555555"
Osgoode SUBWAY Station,250 University Ave,3,"43.6494896,-79.393535"
St Patrick Subway Station,147 University Ave,3,"43.6494896,-79.393535"
St Patrick Subway Station,449 University Ave,3,"43.6494896,-79.393535"
,,0,"43.671526,-79.44874"
Union Subway Station,55 Front St E,4,"43.6451635,-79.3831757"
St Patrick Subway Station,147 University Ave,4,"43.6451635,-79.3831757"
King Subway Station,70 Yonge St,4,"43.6451635,-79.3831757"
Osgoode SUBWAY Station,250 University Ave,4,"43.6451635,-79.3831757"
Union Subway Station,55 Front St E,4,"43.6452972,-79.3827914"
St Patrick Subway Station,147 University Ave,4,"43.6452972,-79.3827914"
King Subway Station,70 Yonge St,4,"43.6452972,-79.3827914"
Osgoode SUBWAY Station,250 University Ave,4,"43.6452972,-79.3827914"
St Patrick Subway Station,147 University Ave,2,"43.6452091,-79.3960744"
Osgoode SUBWAY Station,250 University Ave,2,"43.6452091,-79.3960744"
Bloor-Danforth Subway Line,,2,"43.6555556,-79.43361111111112"
Lansdowne Subway Station,1287 Bloor St W,2,"43.6555556,-79.43361111111112"
Rosedale Subway Station,1009 Yonge St,3,"43.678077,-79.390328"
Summerhill Subway Station,1189 Yonge St,3,"43.678077,-79.390328"
Bloor-Yonge Subway Station,20 Bloor St E,3,"43.678077,-79.390328"
,,0,"43.645665,-79.415345"
,,0,"43.6493472,-79.42668"
,,0,"43.667266,-79.443946"
,,0,"43.660207,-79.361275"
King Subway Station,70 Yonge St,1,"43.648655,-79.367061"
Osgoode SUBWAY Station,250 University Ave,5,"43.648711,-79.389728"
St Patrick Subway Station,147 University Ave,5,"43.648711,-79.389728"
St Patrick Subway Station,449 University Ave,5,"43.648711,-79.389728"
Union Subway Station,55 Front St E,5,"43.648711,-79.389728"
King Subway Station,70 Yonge St,5,"43.648711,-79.389728"
,,0,"43.6605603,-79.3437663"
,,0,"43.6561111,-79.36138888888888"
,,0,"43.652219,-79.354455"
