name,address,yelp_num_stations,coordinates
Museum Subway Station,75 Queen's Park,6.0,"43.66663,-79.38148"
Wellesley Subway Station,16 Wellesley Street E,6.0,"43.66663,-79.38148"
Bloor-Yonge Subway Station,20 Bloor Street E,6.0,"43.66663,-79.38148"
Dundas Station,"Toronto, ON M5B 1J3",6.0,"43.66663,-79.38148"
Bay Subway Station,1240 Bay Street,6.0,"43.66663,-79.38148"
Queen's Park Subway Station,129 College Street,6.0,"43.66663,-79.38148"
Main Street Subway Station,315 Main Street,2.0,"43.685221,-79.294766"
Danforth GO,213 Main Street,2.0,"43.685221,-79.294766"
Union Station,65 Front Street W,2.0,"43.63951,-79.383717"
VIA Rail Canada,65 Front Street  W,2.0,"43.63951,-79.383717"
Union Station,65 Front Street W,3.0,"43.641529,-79.386741"
VIA Rail Canada,65 Front Street  W,3.0,"43.641529,-79.386741"
King Station,3 King Street E,3.0,"43.641529,-79.386741"
Exhibition GO Station,Manitoba Drive,1.0,"43.6417852,-79.4131148"
Dundas Station,"Toronto, ON M5B 1J3",6.0,"43.655766,-79.3802"
St Patrick Subway Station,449 University Avenue,6.0,"43.655766,-79.3802"
Queen Station,171 Yonge Street,6.0,"43.655766,-79.3802"
King Station,3 King Street E,6.0,"43.655766,-79.3802"
Queen's Park Subway Station,129 College Street,6.0,"43.655766,-79.3802"
Queen Subway Station,8 Queen Street W,6.0,"43.655766,-79.3802"
Museum Subway Station,75 Queen's Park,6.0,"43.664088,-79.387095"
Wellesley Subway Station,16 Wellesley Street E,6.0,"43.664088,-79.387095"
Bloor-Yonge Subway Station,20 Bloor Street E,6.0,"43.664088,-79.387095"
Dundas Station,"Toronto, ON M5B 1J3",6.0,"43.664088,-79.387095"
Bay Subway Station,1240 Bay Street,6.0,"43.664088,-79.387095"
Queen's Park Subway Station,129 College Street,6.0,"43.664088,-79.387095"
High Park Subway Station,35 Quebec Avenue,3.0,"43.65917,-79.46997"
Keele Subway Station,21 Keele Street,3.0,"43.65917,-79.46997"
Runnymede Station,265 Runnymede Road,3.0,"43.65917,-79.46997"
Bloor-Yonge Subway Station,20 Bloor Street E,3.0,"43.671535,-79.379173"
Wellesley Subway Station,16 Wellesley Street E,3.0,"43.671535,-79.379173"
Bay Subway Station,1240 Bay Street,3.0,"43.671535,-79.379173"
Union Station,65 Front Street W,6.0,"43.646734,-79.38301"
VIA Rail Canada,65 Front Street  W,6.0,"43.646734,-79.38301"
St Patrick Subway Station,449 University Avenue,6.0,"43.646734,-79.38301"
Queen Station,171 Yonge Street,6.0,"43.646734,-79.38301"
King Station,3 King Street E,6.0,"43.646734,-79.38301"
Queen Subway Station,8 Queen Street W,6.0,"43.646734,-79.38301"
Spadina Subway Station,6 Spadina Road,2.0,"43.6662942,-79.4066433"
Bathurst Subway Station,819 Bathurst Street,2.0,"43.6662942,-79.4066433"
St Clair West Subway Station,370 St Clair Ave W,1.0,"43.675278,-79.423889"
Union Station,65 Front Street W,6.0,"43.648928,-79.378623"
VIA Rail Canada,65 Front Street  W,6.0,"43.648928,-79.378623"
King Station,3 King Street E,6.0,"43.648928,-79.378623"
Queen Station,171 Yonge Street,6.0,"43.648928,-79.378623"
St Patrick Subway Station,449 University Avenue,6.0,"43.648928,-79.378623"
Queen Subway Station,8 Queen Street W,6.0,"43.648928,-79.378623"
Union Station,65 Front Street W,5.0,"43.6509552,-79.3707"
VIA Rail Canada,65 Front Street  W,5.0,"43.6509552,-79.3707"
Queen Station,171 Yonge Street,5.0,"43.6509552,-79.3707"
King Station,3 King Street E,5.0,"43.6509552,-79.3707"
