name,address,rating,total_photos,total_ratings,num_of_res,coordinates
Chick-Fil-A,709 Yonge St,6.6,58.0,20.0,50.0,"43.663722,-79.380288"
Boston Pizza,401 Yonge St,6.3,11.0,12.0,50.0,"43.663722,-79.380288"
Jimmy's Coffee,84 Gerrard St W,8.7,79.0,216.0,50.0,"43.657763,-79.389165"
The Library Specialty Coffee,281 Dundas St W,8.9,53.0,41.0,50.0,"43.657763,-79.389165"
Tim Hortons,70 Gerrard St W,8.5,25.0,51.0,50.0,"43.657763,-79.389165"
Mercatto,101 College St,8.2,46.0,82.0,50.0,"43.657763,-79.389165"
Gallery Sushi,275 Dundas St W,8.4,25.0,17.0,50.0,"43.657763,-79.389165"
Banh Mi Boys,399 Yonge St,9.0,165.0,404.0,50.0,"43.657763,-79.389165"
The Queen and Beaver Public House,35 Elm St,8.4,226.0,355.0,50.0,"43.657763,-79.389165"
Sansotei Ramen,179 Dundas St W,8.2,337.0,292.0,50.0,"43.657763,-79.389165"
Gyubee Japanese Grill,157 Dundas St W,8.2,13.0,10.0,50.0,"43.657763,-79.389165"
Nando's Peri-Peri,832 Bay St,8.2,150.0,247.0,50.0,"43.657763,-79.389165"
HotBlack Coffee,245 Queen St W,9.0,67.0,169.0,50.0,"43.657763,-79.389165"
GB Hand-Pulled Noodles,66 Edward St,8.0,37.0,51.0,50.0,"43.657763,-79.389165"
Blaze Pizza,10 Dundas St E,8.5,84.0,100.0,50.0,"43.657763,-79.389165"
Salad King,340 Yonge St,8.1,513.0,732.0,50.0,"43.657763,-79.389165"
The Keg Steakhouse + Bar,165 York St,8.8,273.0,368.0,50.0,"43.657763,-79.389165"
Chipotle Mexican Grill,323 Yonge St,8.2,248.0,365.0,50.0,"43.657763,-79.389165"
Ikkousha Ramen,249 Queen St W,8.4,47.0,24.0,50.0,"43.657763,-79.389165"
Five Guys Burgers & Fries,329 Yonge St,8.1,264.0,305.0,50.0,"43.657763,-79.389165"
Hair of the Dog,425 Church St,8.5,257.0,271.0,50.0,"43.657763,-79.389165"
Prenup Pub,191 College St,7.7,41.0,74.0,50.0,"43.657763,-79.389165"
Trattoria Mercatto,220 Yonge St,8.1,226.0,199.0,50.0,"43.657763,-79.389165"
Queen St Warehouse,232 Queen St W,8.2,85.0,174.0,50.0,"43.657763,-79.389165"
Dark Horse Espresso Bar,215 Spadina Ave,8.4,368.0,525.0,50.0,"43.657763,-79.389165"
JOEY Eaton Centre,1 Dundas St W,7.8,574.0,571.0,50.0,"43.657763,-79.389165"
Dim Sum King,421 Dundas St W,7.8,133.0,155.0,50.0,"43.657763,-79.389165"
